phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper
843.2257919,4320.101,9.284771,30,2163702.515,2700.961731,801.08594,9.513394,30,2124960.076,2782.514342,763.6834,8.943543,1.1772916,0,0.5698509,0.22862339,0.34122753,-2.945829099,1.773387129,3,6750,4.5,0,NOT_AVAILABLE,131.3184279,52.94649024,142.3503125,55.6263249,100001,6636.4434,6428.09,6843.07,0.928,0.4857,1.3883,0.4645,0.2407,0.6785,200111,2.4181676,2.2743392,2.5774682,10.219016,9.75906,10.678972
199.6548785,2557.6367,11.418069,33,304669.1509,481.5657545,632.66364,11.641817,33,305101.8857,277.8093649,1098.242,11.050808,1.19412,0,0.59100914,0.2237482,0.36726093,-55.71503468,9.254873187,11,6500,4.5,0,NOT_AVAILABLE,131.3127022,52.9195901,142.3112708,55.64213165,100001,7058.5,6815.42,7198,0.1177,0.0065,0.2305,0.0637,0.0029,0.1151,200111,1.1111699,1.0685174,1.1918458,2.7612474,2.7146897,2.807805
42.39258905,5584.213,12.252736,23,102321.3648,301.3858428,339.5029,12.826472,23,190748.5902,148.2018252,1287.0867,11.560766,1.2379963,0,1.2657061,0.5737362,0.6919699,-32.1319449,0.566454094,12,5000,3,0,NOT_AVAILABLE,131.2882688,52.85333547,142.2202344,55.68652083,100001,4768.073,4680.835,4833.3833,0.291,0.1253,2.0128,0.141,0.06,0.7886,200111,9.49525,9.240378,9.85248,41.98355,38.04572,45.921383
40.00175655,5144.0386,12.404907,32,111839.8378,176.2153731,634.67694,12.729897,33,137498.4359,100.9105983,1362.5768,11.916176,1.2117295,1,0.8137207,0.32498932,0.48873138,-44.82458755,3.589252846,11,5500,4.5,0,NOT_AVAILABLE,131.1536017,52.90476723,142.3691284,55.73357133,100002,5872,5700.5405,7101.54,0.0422,0.015,0.1583,0.0183,0.0069,0.0729,200111,0.9290943,0.63522387,0.985825,0.92460984,0.91087234,0.93834734
286.6246841,2296.437,11.142446,29,338067.3122,321.655982,1051.0214,11.52888,31,453065.679,223.0393654,2031.326,10.621517,1.201936,1,0.90736294,0.38643456,0.5209284,-47.75245916,4.700774163,11,5500,4.5,0,NOT_AVAILABLE,131.1556871,52.90163568,142.3631745,55.73396,100002,5419.5,5299.2754,5747.91,0.068,0.0407,0.1555,0.033,0.0209,0.0861,200111,1.0024709,0.8911899,1.0484729,0.7810433,0.7656409,0.79644567
40.1547732,3115.3755,12.945247,30,55201.53502,69.21400533,797.54865,13.496511,30,100030.0885,108.3001959,923.6372,12.261594,1.2408881,0,1.2349167,0.5512638,0.6836529,-69.86565505,1.226192377,9,4500,3,0,NOT_AVAILABLE,130.9897313,52.82678619,142.3313803,55.85773693,100001,5143.6665,4975.1196,5793.665,0.1183,0.0186,0.5075,0.0355,0.0074,0.2371,200111,8.110749,6.3929276,8.669609,41.4866,36.280617,46.69258
135.667713,3576.2812,11.473596,26,267184.9364,303.9349183,879.086,11.784358,25,312677.8885,211.7077975,1476.9314,11.024177,1.1951354,0,0.7601814,0.3107624,0.44941902,2.693173398,0.692511024,11,6250,4.5,0,NOT_AVAILABLE,131.2847371,52.74117991,142.0465606,55.74140071,100001,5934,5725.525,6217.585,0.232,0.078,0.4141,0.142,0.0452,0.211,200111,1.3107568,1.1939158,1.4079479,1.919239,1.8891577,1.9493204
30.30120466,5140.791,12.707141,32,86419.35964,109.5539525,788.8292,13.009861,29,100855.3134,88.19045876,1143.608,12.252673,1.2022346,1,0.75718784,0.30272007,0.45446777,-31.19892077,2.183581149,13,6000,3.5,0,NOT_AVAILABLE,131.378415,52.72340375,141.9713327,55.69970504,100002,5993,5875.6665,6321.05,1.361,0.9807,1.624,0.665,0.496,0.8131,200111,1.8662988,1.6776112,1.9415808,4.047941,3.90626,4.1896224
242.7339415,2352.5452,11.296695,29,295046.5925,306.096485,963.90063,11.676661,29,391114.3341,298.4044011,1310.6855,10.78116,1.2015933,0,0.89550114,0.37996674,0.5155344,4.9249212,0.514664897,11,5750,4.5,0,NOT_AVAILABLE,131.2713991,52.60206765,141.8350181,55.81394837,100001,5424.65,5391.25,5539,0.2142,0.1276,0.4705,0.127,0.0469,0.233,200111,1.124446,1.078498,1.1384217,0.9864131,0.97668725,0.996139
445.1627223,5965.9453,9.627871,34,1468190.437,1847.140709,794.8449,9.934432,35,1688898.576,2440.123213,692.1366,9.192911,1.1887453,0,0.7415209,0.30656147,0.4349594,-2.859162038,1.634950653,7,6250,4.5,0,NOT_AVAILABLE,131.7346896,53.20214856,142.5385757,55.28499686,100001,5932.5,5825,6040,,,,,,,200111,4.470107,4.3124046,4.6366205,22.298801,21.843035,22.754568
