solution_id,source_id,global_ranking,reference_time,frequency,frequency_error,geom_model_reference_level,geom_model_reference_level_error,geom_model_gaussian1_phase,geom_model_gaussian1_phase_error,geom_model_gaussian1_sigma,geom_model_gaussian1_sigma_error,geom_model_gaussian1_depth,geom_model_gaussian1_depth_error,geom_model_gaussian2_phase,geom_model_gaussian2_phase_error,geom_model_gaussian2_sigma,geom_model_gaussian2_sigma_error,geom_model_gaussian2_depth,geom_model_gaussian2_depth_error,geom_model_cosine_half_period_amplitude,geom_model_cosine_half_period_amplitude_error,geom_model_cosine_half_period_phase,geom_model_cosine_half_period_phase_error,model_type,num_model_parameters,reduced_chi2,derived_primary_ecl_phase,derived_primary_ecl_phase_error,derived_primary_ecl_duration,derived_primary_ecl_duration_error,derived_primary_ecl_depth,derived_primary_ecl_depth_error,derived_secondary_ecl_phase,derived_secondary_ecl_phase_error,derived_secondary_ecl_duration,derived_secondary_ecl_duration_error,derived_secondary_ecl_depth,derived_secondary_ecl_depth_error
3.75317E+17,2.02739E+18,0.49856597,2211.313025,2.771598696,9.24E-06,19.802101,0.016865017,0.23819008,0.002150909,0.07939686,0.005487334,0.33206028,0.015099715,0.75494105,0.008976678,0.090982564,0.011674269,0.30084065,0.022595232,null,null,null,null,TWOGAUSSIANS,8,1.4573019,0.23819008,0.002150909,0.4,0,0.32574356,0.011294045,0.75494105,0.008976678,0.4,0,0.29452366,0.021999963
3.75317E+17,2.0274E+18,0.47619823,2219.050327,1.93929635,2.73E-05,19.393438,0.002792942,0.58630234,0.002535941,0.028667022,0.002343116,0.104460716,0.011043644,0.7789421,0.001910584,0.007498116,6.58E-04,0.7349802,0.15668072,null,null,null,null,TWOGAUSSIANS,8,1.3090365,0.7789421,0.001910584,0.04198945,0.00368742,0.7349802,0.15668072,0.58630234,0.002535941,0.16053532,0.013121449,0.104460716,0.011043644
3.75317E+17,2.0274E+18,0.437167,2227.151732,2.436082896,9.71E-05,19.004948,0.030255113,0.23871326,0.014165647,0.08650176,0.023213554,0.32545757,0.048162058,0.74807477,0.012792367,0.04638857,0.006549436,0.776561,0.18913579,null,null,null,null,TWOGAUSSIANS,8,46.662323,0.74807477,0.012792367,0.259776,0.03667684,0.77602726,0.18903704,0.23871326,0.014165647,0.4,0,0.32492378,0.048217345
3.75317E+17,2.0274E+18,0.48982322,2221.256492,2.545609582,2.14E-05,19.779991,0.02689519,0.21927345,0.005985401,0.08034406,0.007681686,0.37625083,0.03609557,0.72553134,0.008043672,0.08836297,0.014252543,0.32836193,0.04804637,null,null,null,null,TWOGAUSSIANS,8,2.658051,0.21927345,0.005985401,0.4,0,0.36849996,0.032837953,0.72553134,0.008043672,0.4,0,0.32061097,0.0492129
3.75317E+17,2.0274E+18,0.5741409,2227.239632,0.16916128,6.85E-06,18.582378,0.002442173,0.3823586,0.001720276,0.017284932,0.001770365,0.5045667,0.02269814,0.88513774,0.05743132,0.027533209,0.017115623,0.40688062,0.3609932,null,null,null,null,TWOGAUSSIANS,8,2.5260932,0.3823586,0.001720276,0.09679562,0.009914046,0.5045667,0.02269814,0.88513774,0.05743132,0.15418598,0.09584749,0.40688062,0.3609932
3.75317E+17,2.0274E+18,0.50253123,2213.686827,2.237311915,1.12E-05,19.831089,0.013116836,0.26049268,0.004034966,0.07561895,0.00414025,0.37642005,0.024787059,0.7574732,0.005620401,0.081257455,0.007374789,0.36354488,0.014582374,null,null,null,null,TWOGAUSSIANS,8,1.52328,0.26049268,0.004034966,0.4,0,0.3720949,0.024068251,0.7574732,0.005620401,0.4,0,0.35921973,0.013177626
3.75317E+17,2.0274E+18,0.4894151,2216.322233,3.21752444,2.76E-05,19.50049,0.011099617,0.63952744,0.007800869,0.08612797,0.007346846,0.6347676,0.032564864,0.37074947,0.028543694,0.022123735,0.036135416,0.10723866,0.04901945,null,null,null,null,TWOGAUSSIANS,8,9.876892,0.63952744,0.007800869,0.4,0,0.6347675,0.03256508,0.3715795,0.26614743,0.12389292,0.20235834,0.112185806,0.04780071
3.75317E+17,2.0274E+18,0.5706702,2225.484258,0.533646844,2.40E-05,18.249292,0.004446907,0.23429991,0.013843727,0.026311878,0.011340641,0.031341698,0.025502034,0.7516872,0.00126403,0.029322213,0.001290958,0.62162083,0.029469026,0.014564046,0.006749948,0.23429991,0.013843727,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1,9,5.018511,0.7516872,0.00126403,0.16420439,0.007229365,0.65040267,0.029596103,0.23429991,0.013843727,0.14734651,0.063507594,0.06046975,0.023777591
3.75317E+17,2.0274E+18,0.5630295,2214.892104,1.215320672,4.03E-06,18.233667,0.002170528,0.26102176,0.003369648,0.039494544,0.008331059,0.04157006,0.019195726,0.7651508,0.001438736,0.041284364,0.00171492,0.2818877,0.021876493,0.042403035,0.005214952,0.26102176,0.003369648,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1,9,1.8433805,0.7651508,0.001438736,0.23119244,0.009603552,0.36663672,0.023045102,0.26102176,0.003369648,0.22116944,0.046653926,0.12637612,0.01869751
3.75317E+17,2.0274E+18,0.64894974,2231.544941,2.428970628,3.53E-06,17.615225,0.010636498,0.28893924,8.28E-04,0.05230037,0.003900587,0.32509583,0.017743964,0.7850404,0.002262095,0.054704618,0.003321558,0.3367294,0.023410114,0.12080182,0.013545549,0.28893924,8.28E-04,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1,9,3.7837744,0.7856104,0.001934797,0.30634585,0.018600723,0.57819843,0.007101776,0.28893924,8.28E-04,0.29288208,0.021843286,0.5666888,0.012225051
3.75317E+17,2.0274E+18,0.5310201,2215.082645,1.305627895,1.38E-05,17.841,0.002224331,0.2510013,0.023214899,0.07299808,0.01337779,0.011987147,0.003780695,0.6458643,0.0023702,0.039627254,0.002282121,0.19551398,0.003786947,null,null,null,null,TWOGAUSSIANS,8,1.8127388,0.6458643,0.0023702,0.22191262,0.012779878,0.19551395,0.003786921,0.2510013,0.023214899,0.4,0.033148717,0.011987115,0.003780662
3.75317E+17,2.0274E+18,0.55804884,2246.841548,3.319531794,1.01E-05,19.207056,0.009921431,0.26779753,0.002795437,0.07440238,0.005634379,0.30814952,0.014113378,0.7708663,0.002933819,0.07643676,0.004568419,0.37625992,0.011894464,null,null,null,null,TWOGAUSSIANS,8,1.7095032,0.7708663,0.002933819,0.4,0,0.37364042,0.011374394,0.26779753,0.002795437,0.4,0,0.30553004,0.014331522
3.75317E+17,2.02741E+18,0.6030595,2237.806945,3.164117908,5.11E-06,18.512646,0.007634059,0.28811365,0.001014704,0.049365133,0.001908162,0.47151327,0.018352043,0.790723,0.004610176,0.040683236,0.003732785,0.3186262,0.025860125,0.11804425,0.010830433,0.28811365,0.001014704,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1,9,3.5458617,0.28811365,0.001014704,0.27644473,0.010685708,0.7076004,0.012488527,0.790723,0.004610176,0.22782613,0.020903593,0.5546499,0.019390304
3.75317E+17,2.02741E+18,0.538059,2200.080418,0.412853899,6.43E-06,19.34939,0.004862795,0.18901968,0.001853725,0.030681098,0.001842031,0.44670328,0.033694755,0.6918912,0.002462208,0.029923176,0.002345697,0.5153331,0.056208473,null,null,null,null,TWOGAUSSIANS,8,2.0635543,0.6918912,0.002462208,0.16756979,0.013135901,0.5153331,0.056208473,0.18901968,0.001853725,0.17181414,0.010315372,0.44670328,0.033694755
