parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error
0.08276753,0.038740702,-0.79405357,0.04521983,-3.32999787,0.045030202,18.36387385,2.547308673
0.082769603,0.096973409,-2.035741539,0.150747569,-3.365095621,0.138755197,-46.91434213,0.899907365
0.082771467,0.092402571,-2.965499325,0.158722701,-1.629354454,0.160826411,-76.65628546,0.679364815
0.08277613,0.02071882,-5.581641751,0.032139645,-7.36396569,0.035883192,-96.10761387,0.630666078
0.082776196,0.025673317,-1.371621858,0.035904356,-0.665329192,0.032441796,-129.9794667,0.844293884
0.082785972,0.02091398,-2.368066221,0.029281788,-1.688473256,0.030212638,-190.5058445,1.24024887
0.082786527,0.078731155,-3.850406222,0.133304207,-3.993783294,0.119788622,-44.63519405,0.79746084
0.082795262,0.055491184,-1.768402267,0.084052641,-5.02908973,0.083672298,-76.80560495,1.397662984
0.082801207,0.028501582,3.932939611,0.046168174,-0.318241451,0.040703145,-56.26687722,0.675156103
0.082802031,0.049083568,-2.921537422,0.077532278,-7.060414929,0.096760211,-18.66134625,5.091107214
0.082803081,0.017370304,-2.224493881,0.023929877,-6.785850557,0.028947869,-33.46869954,1.891793664
0.082803469,0.0399501,-3.237181078,0.061211876,-4.093702778,0.062139195,-84.23587164,0.239867361
0.082803688,0.015651139,-1.813181316,0.023714838,-5.652572189,0.032519648,-0.021400891,0.979041832
0.082805205,0.019134805,-1.241637333,0.031963839,-0.149993094,0.032919277,-78.48117259,4.362725758
0.082809632,0.056422779,-4.326135699,0.062746268,-8.618585719,0.081236035,61.19697336,1.700693994
0.082816268,0.050170605,-3.60146909,0.111840226,-0.808254342,0.090834708,-85.4376643,1.297653907
0.082818939,0.036368174,-1.679249053,0.04861292,-5.642664246,0.05199734,48.62999114,0.573200155
0.082820652,0.013690385,0.358458482,0.026421777,-0.028219242,0.031541073,-81.38834968,3.318524451
0.082828531,0.034414973,-1.34588657,0.06400471,-2.142193894,0.054292631,49.09389394,2.447686863
0.082829976,0.021301123,-2.893302877,0.032742714,-4.668936007,0.038345149,1.359586274,14.40930959
0.082831849,0.038033941,-2.31815123,0.055782512,-4.729757274,0.061981014,-30.57437115,1.302798897
0.082831864,0.016243921,-0.072233524,0.026446634,-3.764645188,0.024339829,-88.90187132,1.328679822
0.08283272,0.022582064,-1.194671741,0.037130806,-6.047220468,0.040377706,12.88541499,1.034765378
0.082841137,0.066951326,-1.647776323,0.109740725,-3.539302169,0.115199863,-129.9308797,7.980674059
0.08284609,0.027995382,-3.525553604,0.054293555,-3.350955456,0.053673204,-80.00189993,0.748281693
0.082846962,0.028986866,-2.680399382,0.04637419,-2.692905627,0.047075996,-69.39887525,1.422036458
