ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error
295.5007649,25.07574376,8.16E-04,0.067358415,0.012116445,-2.641385999,0.101879071,-3.983517297,0.104468348,48.92236416,0.301829439
350.6754639,53.48687151,8.16E-04,0.053500141,0.01525942,-1.43406395,0.076506823,-0.329906822,0.069687895,-73.82996213,0.791611875
289.244933,29.15744423,8.18E-04,0.028232234,0.028988302,-3.945485063,0.040737278,-2.253004796,0.04592971,-99.48509534,0.913274097
297.9157646,19.76691491,8.70E-04,0.061248166,0.014212223,-5.670696372,0.078679705,-5.506912377,0.082127227,-65.41927888,0.657814739
298.8570953,32.35108652,8.82E-04,0.052458702,0.016804537,-2.330977375,0.084400527,-5.151511101,0.090151722,-53.78860232,16.4573738
303.4375736,33.53815401,8.88E-04,0.084600563,0.010491924,-2.344326872,0.122432746,-3.947418806,0.151059817,-72.77498333,1.789642066
354.5404932,57.63203794,9.00E-04,0.034813321,0.025852213,-1.571871662,0.050083328,-0.80958058,0.042646937,-131.8304862,0.788335528
297.7733027,30.98945724,9.35E-04,0.041590186,0.022474626,-2.01641386,0.062933634,-5.046457377,0.080520899,-58.55038625,1.020418114
290.7221935,24.22201808,9.35E-04,0.042520129,0.021989005,-3.127023158,0.052440338,-6.741859015,0.06187066,-28.31358535,0.46424072
348.5351119,54.16031549,9.51E-04,0.039769994,0.02390287,-1.99469692,0.060969083,-0.632496581,0.052642389,-53.28549219,0.253756895
292.5273595,34.13405429,9.75E-04,0.046014908,0.021189325,-1.230257856,0.084912406,-2.564296364,0.084107317,-21.00447665,0.827470671
306.9930336,44.55429744,9.85E-04,0.071549037,0.013760242,-2.282209521,0.122311243,-4.866755364,0.130938772,-47.60041171,3.05644277
323.8339691,54.89822673,9.91E-04,0.055143033,0.01797954,-2.311424439,0.09776968,-2.353863755,0.089395507,-65.49365891,1.401038176
287.1428032,30.03610851,0.001003853,0.039806531,0.025218287,-2.222488265,0.05868791,-4.697993823,0.069932211,-42.27627064,0.411946966
325.5422064,33.65798974,0.001005182,0.022203854,0.04527061,1.047682454,0.031351774,-0.50212231,0.038131734,-196.3940304,2.664367769
329.0442208,45.68448937,0.001023093,0.04621601,0.022137199,-2.357453595,0.074840013,-2.896829548,0.074467894,-163.9475096,1.373234501
316.4262969,41.03896028,0.001052521,0.062287067,0.016897898,-1.832728345,0.110027562,-2.754131776,0.101529334,-120.7034819,2.234058532
327.7319593,57.38288154,0.001075044,0.061454059,0.01749346,-1.360733142,0.108976439,-1.36731426,0.082460563,-83.57442578,0.432482269
339.5432434,52.52218732,0.001091154,0.021269877,0.051300418,-2.22839802,0.031822748,-0.752993426,0.032108662,-109.9481128,1.52751179
289.536611,28.84518481,0.001102587,0.029065896,0.03793404,-0.404836962,0.04546202,-0.765996267,0.050552399,-167.6972976,3.316482368
335.2307317,21.99731115,0.001114218,0.065362483,0.017046755,-0.15742372,0.219749377,-2.749982007,0.114277984,-109.3432575,1.685287668
359.4418365,50.37374898,0.001121439,0.060073523,0.018667782,-0.197017686,0.076984197,-1.060814409,0.059916405,-191.7362802,0.593528726
295.2621244,28.46088157,0.001151652,0.033864237,0.03400792,-2.65857977,0.053291921,-2.905120326,0.05911035,-16.97704301,3.324739753
313.4950858,45.85718116,0.001158909,0.142517722,0.00813168,2.155031266,0.246958538,1.712049361,0.308267932,-27.7791516,3.469324136
333.2967925,43.64281371,0.00116319,0.035472455,0.032791365,-1.664364799,0.052791248,-1.691400523,0.063922771,-67.99513796,0.389151323
310.7153912,46.60262026,0.001165622,0.095580826,0.01219514,-2.488047548,0.173179005,-3.064028708,0.161543216,-56.43211451,1.262804469
301.5001067,18.64701551,0.001166517,0.033668638,0.034647007,-2.232686539,0.043685734,-4.1135125,0.042042418,-70.42370073,1.276517495
305.1827376,56.08981801,0.001190079,0.025465504,0.046732984,-1.068008792,0.050916822,-2.507293663,0.044836699,-184.6999114,1.316376132
296.372722,37.86036065,0.001191936,0.017184045,0.06936293,-2.181950149,0.028746027,-2.683314909,0.030164341,-83.08874422,4.125525663
302.4562613,44.32536097,0.001194773,0.108361102,0.01102585,1.541439684,0.152294771,-5.910048345,0.16058513,-17.02021586,0.592573829
303.0533418,34.60977474,0.001197192,0.079584842,0.015042964,-2.475767195,0.126546533,-3.857981048,0.137460945,-11.39598875,3.191678113
285.5032883,34.15657578,0.001208433,0.041678816,0.028993944,-2.909533136,0.065218112,-5.356768391,0.067973184,-89.35441244,0.482418064
306.352086,56.05910099,0.001233449,0.016624371,0.07419523,-1.607306649,0.032903088,-3.116685044,0.03192129,-109.9519084,1.999261354
344.9506953,51.35225414,0.001236296,0.038083849,0.032462467,-0.633979358,0.059188966,-3.513761583,0.054797741,-156.604072,0.821571896
